time (days since 2003-01-24),wavelength (nm),irradiance (W/m^2/nm),uncertainty (W/m^2/nm)
614.5,115.50,1.9414412198336323E-5,6.803973872241795E-7
614.5,116.50,2.4043690239043083E-5,8.359881551009056E-7
614.5,117.50,8.196537426800394E-5,2.8548804646145112E-6
614.5,118.50,3.2472782785952205E-5,1.1138630103538458E-6
614.5,119.50,5.4047182753431406E-5,1.8568841646077276E-6
614.5,120.50,1.5738720606434217E-4,5.436712810316408E-6
614.5,121.50,0.006782681919208151,2.429840274531906E-4
614.5,122.50,6.663099960861657E-5,2.253257097377185E-6
614.5,123.50,4.261225485227088E-5,1.454378570056308E-6
614.5,124.50,3.086268438517789E-5,1.0605836973260938E-6
614.5,125.50,2.7887501903975997E-5,9.62769712758819E-7
614.5,126.50,3.8161632154716976E-5,1.3249063985119272E-6
614.5,127.50,2.013127126737135E-5,6.912768188602021E-7
614.5,128.50,1.5982816039419883E-5,5.559125481322088E-7
614.5,129.50,1.838740268229705E-5,6.326850221123605E-7
614.5,130.50,1.5708172981065223E-4,5.387435061354629E-6
614.5,131.50,2.5689372543400437E-5,8.825631891363642E-7
614.5,132.50,2.0309998060827128E-5,6.998943191186725E-7
614.5,133.50,1.892490620176351E-4,6.6201464025237416E-6
614.5,134.50,1.911709881558279E-5,6.567151182921177E-7
614.5,135.50,4.3473574778573954E-5,1.4954589560842015E-6
614.5,136.50,2.6998251496967754E-5,9.218629951795777E-7
614.5,137.50,2.9420246379763145E-5,1.003768251706385E-6
614.5,138.50,2.884181469510629E-5,9.799428018683514E-7
614.5,139.50,7.682420414184292E-5,2.662221026258077E-6
614.5,140.50,6.630182106356195E-5,2.282074622420033E-6
614.5,141.50,4.02950112750607E-5,1.3714309693147933E-6
614.5,142.50,4.3613760889157545E-5,1.4716655361877221E-6
614.5,143.50,4.960463374776652E-5,1.6821325478672459E-6
614.5,144.50,4.8584485291238924E-5,1.6455310856699854E-6
614.5,145.50,5.166260480020456E-5,1.7587608030118828E-6
614.5,146.50,6.352543911536954E-5,2.1498387712021684E-6
614.5,147.50,7.91824602389018E-5,2.6837674100624104E-6
614.5,148.50,8.05526487707389E-5,2.7363508860727107E-6
614.5,149.50,7.344328223680487E-5,2.4992879744560863E-6
614.5,150.50,8.150329394120354E-5,2.7722367665217393E-6
614.5,151.50,8.832705853664254E-5,2.985444685044001E-6
614.5,152.50,1.0936547006797897E-4,3.7148259656240423E-6
614.5,153.50,1.2055181648133861E-4,4.07080322220035E-6
614.5,154.50,2.0329720010763144E-4,7.091070298298859E-6
614.5,155.50,1.8081165949464326E-4,6.1962282356817015E-6
614.5,156.50,1.8272522168974765E-4,6.152442833540553E-6
614.5,157.50,1.6117868591473017E-4,5.441073026138136E-6
614.5,158.50,1.617886455213067E-4,5.462521149260406E-6
614.5,159.50,1.6124057402585904E-4,5.396995369552087E-6
614.5,160.50,1.7967363926729867E-4,5.984440694613542E-6
614.5,161.50,2.1154271576989117E-4,7.058650537739462E-6
614.5,162.50,2.448803428890562E-4,8.15911479470105E-6
614.5,163.50,2.6105702735286545E-4,8.684470885193585E-6
614.5,164.50,3.0278097588673215E-4,1.0073240229345956E-5
614.5,165.50,4.78562551094201E-4,1.6088281581769683E-5
614.5,166.50,3.2757420801380363E-4,1.0726071418101315E-5
614.5,167.50,3.874140556377531E-4,1.2617681452943126E-5
614.5,168.50,4.2653837118447044E-4,1.3786735796630889E-5
614.5,169.50,5.624938669562408E-4,1.8115042261114223E-5
614.5,170.50,6.504210801105454E-4,2.0842823244490805E-5
614.5,171.50,6.526394915347217E-4,2.0874416038753836E-5
614.5,172.50,7.189220131883132E-4,2.2892475009166726E-5
614.5,173.50,7.277109513858952E-4,2.3099812128151523E-5
614.5,174.50,8.920837475501968E-4,2.819674388898829E-5
614.5,175.50,0.0010914076185510415,3.4426904284908705E-5
614.5,176.50,0.0011836564167713617,3.742176625932466E-5
614.5,177.50,0.0014440641328359006,4.552937801146719E-5
