#Pressure, Star Temperature, Average Atm. Temp [K], Ozone Abundance [molecules/cm3], Altitude of Max [km], Total Column [molecules/cm3]
00.1, 02500, 102.7,  196017500000, 12.70,  7059017000000
01.0, 02500, 102.7,  196349800000, 28.28,  7117713000000
05.0, 02500, 102.7,  197015800000, 39.25,  7138488000000
10.0, 02500, 102.7,  197384400000, 43.87,  7147647000000
25.0, 02500, 102.7,  198361900000, 50.21,  7160095000000
50.0, 02500, 102.7,  199556000000, 54.83,  7170084000000
00.1, 03500, 143.8,  708922200000, 30.59, 48748780000000
01.0, 03500, 143.8,  708972500000, 46.75, 48827910000000
05.0, 03500, 143.8,  711139900000, 57.72, 48841610000000
10.0, 03500, 143.8,  718329200000, 63.49, 48906130000000
25.0, 03500, 143.8,  794242100000, 79.65, 49168590000000
50.0, 03500, 143.8, 1466105000000, 86.00, 49488330000000
00.1, 04500, 184.8, 1306483000000, 34.05, 53432830000000
01.0, 04500, 184.8, 1306359000000, 49.64, 53507010000000
05.0, 04500, 184.8, 1310404000000, 60.60, 53525350000000
10.0, 04500, 184.8, 1318265000000, 65.80, 53535840000000
25.0, 04500, 184.8, 1360547000000, 72.15, 53568530000000
50.0, 04500, 184.8, 1476216000000, 76.77, 53612440000000
00.1, 05500, 225.9, 1399773000000, 28.86, 55737050000000
01.0, 05500, 225.9, 1399894000000, 44.44, 55827170000000
05.0, 05500, 225.9, 1401389000000, 55.41, 55848910000000
10.0, 05500, 225.9, 1404055000000, 60.03, 55859160000000
25.0, 05500, 225.9, 1418079000000, 66.38, 55881150000000
50.0, 05500, 225.9, 1451349000000, 70.99, 55906290000000
